system,tau_ms,hm,localization_f1,shipped_mean_error_f1
injected_mistyper,50,,0.0,0.0
injected_mistyper,75,0.1667,1.0,0.875
injected_mistyper,100,0.1667,1.0,0.875
injected_mistyper,150,0.1667,1.0,0.875
injected_mistyper,200,0.1667,1.0,0.875
injected_mistyper,500,0.1667,1.0,0.875
witness_sys1_HM_high,50,0.3333333333333333,1.0,0.6666666666666666
witness_sys2_HM_zero,50,0.0,0.6666666666666666,0.6666666666666666
witness_sys1_HM_high,75,0.3333333333333333,1.0,0.6666666666666666
witness_sys2_HM_zero,75,0.0,0.6666666666666666,0.6666666666666666
witness_sys1_HM_high,100,0.3333333333333333,1.0,0.6666666666666666
witness_sys2_HM_zero,100,0.0,0.6666666666666666,0.6666666666666666
witness_sys1_HM_high,150,0.3333333333333333,1.0,0.6666666666666666
witness_sys2_HM_zero,150,0.0,0.6666666666666666,0.6666666666666666
witness_sys1_HM_high,200,0.3333333333333333,1.0,0.6666666666666666
witness_sys2_HM_zero,200,0.0,0.6666666666666666,0.6666666666666666
witness_sys1_HM_high,500,0.3333333333333333,1.0,0.6666666666666666
witness_sys2_HM_zero,500,0.0,0.6666666666666666,0.6666666666666666
